trade_id,trader,instrument,side,quantity,price,timestamp,exchange
T001,john,EURUSD,BUY,100000,1.0823,2024-03-01 08:00:01,NYSE
T002,sarah,BTCUSD,SELL,50,42350.00,2024-03-01 08:00:03,CME
T003,john,AAPL,BUY,500,182.30,2024-03-01 08:00:05,NYSE
T004,mike,EURUSD,BUY,200000,1.0825,2024-03-01 08:00:07,NYSE
T005,sarah,AAPL,SELL,300,182.50,2024-03-01 08:00:09,NYSE
T006,mike,BTCUSD,BUY,25,-500.00,2024-03-01 08:00:11,CME
T007,john,GOOGL,SELL,100,141.20,2024-03-01 08:00:13,NASDAQ
T007,john,GOOGL,SELL,100,141.20,2024-03-01 08:00:13,NASDAQ
T008,mike,AAPL,BUY,400,182.40,2024-03-01 08:00:15,NYSE
T009,,EURUSD,SELL,150000,1.0820,2024-03-01 08:00:17,NYSE
T010,sarah,MSFT,BUY,200,415.30,2024-03-01 08:00:19,NASDAQ
T011,john,BTCUSD,SELL,10,42400.00,2024-03-01 08:00:21,CME
T012,mike,GOOGL,BUY,250,141.50,2024-03-01 08:00:23,NASDAQ
T013,sarah,MSFT,SELL,100,9999999.00,2024-03-01 08:00:25,NASDAQ
T014,john,EURUSD,BUY,300000,1.0827,2024-03-01 08:00:27,NYSE
T015,mike,AAPL,SELL,200,182.60,2024-03-01 08:00:29,NYSE
